from,subsection,premise_finding,connecting_principle,interpretation
mechanical,Subsection: HMGB2 upregulation requires nesprin 2,"Confined A375 cells upregulated nesprin 2 (Extended Data Fig. 10a,b), and targeting SYNE2 with short interfering RNA (siRNA) abolished the confinement‑mediated accumulation of HMGB2 (Fig. 3n,o) and perinuclear tubulin network (Fig. 3p,q).",The LINC complex cooperates with the nuclear lamina to tune nuclear stiffness (Ref: 36).,This indicates that nesprin 2 and the tubulin cytoskeleton interact to upregulate HMGB2.
mechanical,Subsection: HMGB2 upregulation requires nesprin 2,"Lamin A/C increased by approximately 3-fold in confined cells (P = 1.28 × 10⁻¹⁶²; Extended Data Fig. 10d,e), suggesting that the nuclear lamina was remodelled in response to confinement, which we validated by means of atomic force microscopy (AFM) showing increased nuclear stiffness in confined cells (Extended Data Fig. 10f,g).",The LINC complex cooperates with the nuclear lamina to tune nuclear stiffness (Ref: 36).,"Together, our results demonstrate that confined melanoma cells remodel cytoskeletal and nuclear structures to reinforce the cell against mechanical force, resulting in LINC complex‑mediated HMGB2 upregulation and nuclear stiffening."
mechanical,Subsection: Force affects HMGB2-chromatin dynamics,confinement significantly increased the proportion of slower‑diffusing HMGB2 (6.76 ± 0.39% versus 4.21 ± 0.39%; P = 1.134 × 10⁻⁵; Fig. 4f).,HMGB2 typically binds chromatin without sequence specificity and bends DNA to relieve mechanical strain (Ref: 37).,"suggesting more specific, stable HMGB2‑chromatin interactions in confined cells."
mechanical,Subsection: HMGB2 targets plasticity-associated loci,ATAC‑seq of A375 cells overexpressing HMGB2 showed broadly increased chromatin accessibility (Fig. 4g) and increased accessibility at loci linked to neural crest and neuronal development (Fig. 4h‑j and Supplementary Table 5).,"The top‑ranked motif was an AP‑1 motif (Fig. 4k; P = 1 × 10⁻⁴⁹), implicated in melanoma and melanocyte plasticity (Ref: 40,41).","These data indicate that HMGB2 upregulation increases chromatin accessibility at loci associated with plasticity and a neuronal phenotype, promoting a confinement‑induced dedifferentiation program."
mechanical,Subsection: HMGB2 drives invasion through Notch and BRN2,HMGB2 robustly bound the promoter of Notch signalling genes in both A375 (Extended Data Fig. 11d and Supplementary Table 6) and SKMEL5 (Extended Data Fig. 12d and Supplementary Table 8) cells.,"Notch signalling promotes melanoma invasion through brain‑2 (BRN2, also known as POU3F2) (Ref: 48), a well‑characterized pro‑invasive transcription factor in melanoma (Ref: 49) that also functions in neuronal development (Ref: 50).",This indicates that invasive and neuronal phenotypes in confined interface cells are induced by HMGB2‑mediated upregulation of Notch/BRN2 signalling.
mechanical,Subsection: HMGB2 mediates phenotype switching,We quantified minimal migration of confined A375 cells (mean velocity = 0.0838 ± 0.0025 µm min⁻¹; Extended Data Fig. 13a‑c).,"Previous studies identified a fast amoeboid mode of migration induced by confinement and low adhesion (Ref: 13,55‑57).",This indicates that fast amoeboid migration is not a major contributor to confinement‑induced phenotypic plasticity in our system.
mechanical,Subsection: HMGB2 is associated with drug tolerance,"Unconfined cells rapidly displayed fragmented nuclear morphology and underwent apoptosis, whereas confined cells were almost completely resistant to Taxol‑induced cell death (Extended Data Fig. 13d).",Taxol induces cancer cell death through cell cycle arrest (Ref: 60).,"indicating that confinement may cause melanoma cells to exit the cell cycle, in accordance with a pro‑invasive phenotype switch associated with downregulation of proliferation."
mechanical,Subsection: HMGB2 is associated with drug tolerance,"HMGB2 overexpression significantly impaired melanoma response to dabrafenib/trametinib in vivo (P = 0.043; Fig. 5o, Extended Data Fig. 13e and Supplementary Table 10).","Phenotype switching, particularly the undifferentiated/invasive state, has been linked to drug resistance (Ref: 2).","Together, our results support a role for confinement‑mediated upregulation of HMGB2 inducing a pro‑invasive and drug‑tolerant state in melanoma."
pcsk9,Sterol dependencies of liver-avid cells,CYP46A1 expression was upregulated in C1‑Liver lines (Fig. 4e) and knockout of CYP46A1 reduced KP4 growth in the liver (Fig. 4f).,"Studies in the brain have shown that 24‑HC, which is synthesized and secreted by neuronal cells, can promote activation of lipoprotein synthesis and cholesterol efflux genes in neighbouring astrocytes via the nuclear hormone receptor liver X receptor (LXR) (Ref: 36,37).",CYP46A1‑mediated oxysterol signalling promotes liver‑specific growth.
pcsk9,Sterol dependencies of lung-avid cells,"High PCSK9 expression correlated with dependency on late‑stage cholesterol biosynthesis genes; knockout of PCSK9 or SC5D sensitised HPAC cells to GPX4 inhibitors and reduced lung colonisation (Extended Data Fig. 10c–e, f,g).",Late‑stage cholesterol intermediates such as 7‑dehydrocholesterol (7‑DHC) act as radical‑trapping agents that suppress ferroptosis (Ref: 40‑42).,"These findings indicate that actively engaging cholesterol biosynthesis simultaneously provides anti‑ferroptotic sterol intermediates that support lung colonization, whereas cells that lack this activity are more susceptible to oxidative stress‑induced cell death."
taurine,Taurine drives glycolysis in leukaemia,"Our experiments showed that while RHEB(Q64L) partially rescued Slc6a6−/− colony formation, this could be fully rescued by RAGA(Q66L) (Fig. 5p).","Amino acid availability can be sensed by RAG GTPases to facilitate mTORC1 localization to the outer lysosomal membrane (Ref: 40) and its interaction with RHEB GTPases (Ref: 41), thereby promoting mTORC1 activation.","Collectively, our studies show that the taurine–TAUT axis regulates glycolysis in myeloid leukaemia cells by promoting RAG‑mediated activation of mTOR signalling."
