title,subsection,type,main_content,context,outcome
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement induces a neuronal state,Q1,we hypothesized that mechanical forces exerted on the cell/nucleus may cause stable changes in gene expression and tumour cell behaviour,Although numerous factors probably influence tumour invasion,"To test this hypothesis, we adapted a system to confine human melanoma cells (A375 cell line) in vitro at predefined heights (3 µm) using a polydimethylsiloxane piston and micropatterned coverslips13 (Fig. 1l)"
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement induces a neuronal state,Q2,"Confinement in vitro was not cytotoxic because confined cells did not upregulate apoptosis markers cleaved caspase-3, annexin V or cleaved PARP (Extended Data Fig. 2a–f). Post-confinement, cells recovered typical morphology within 24 h without widespread cell death (Extended Data Fig. 2g)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement induces a neuronal state,Q1,To profile confinement-induced changes in gene expression,(missing),we confined A375 cells for approximately 18 h and performed bulk RNA-seq
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement induces a neuronal state,Q2,"Principal component analysis revealed considerable transcriptional alterations induced by confinement (Fig. 1m and Supplementary Table 2). Similar to human interface cells, confined cells upregulated several neuronal pathways (Fig. 1n and Supplementary Table 2).",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement induces a neuronal state,Q2,Pathway analysis showed that many of the co-regulated genes were related to neuronal development (Extended Data Fig. 2i and Supplementary Table 3),(missing),These data indicate that confinement causes interface cells to adopt a neuronal identity
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q1,We hypothesized that melanoma cells hijack neuronal mechanisms to allow them to invade into the mechanically confined microenvironment,Recent reports indicate that the MT cytoskeleton is stabilized by force to protect confined cells from damage16,We used our in vitro confinement system to characterize how force remodels the MT cytoskeleton by imaging A375 cells labelled with the MT vital dye SiR-tubulin
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q2,"Confinement extensively remodelled the MT cytoskeleton; within 2–4 h, curved MTs began encircling the cell and nuclear periphery (Fig. 2a,b)",This was reminiscent of a previous study that showed that MTs bend to prevent buckling or rupture in response to force16,(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q2,We also observed loss of a central MT organizing centre with radial MTs,"reminiscent of neurons with centrosome-independent MT organization14,17",These results indicate that confined melanoma cells rapidly undergo structural changes in the MT cytoskeleton resembling neurons
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q2,observed enrichment of acetylated tubulin at the tumour border6 (Fig. 2c–e),"Acetylated tubulin mediates neuronal architecture and function and marks axonal MTs18. Tubulin acetylation stabilizes MTs and thus the cell against mechanical pressure19. Curved MTs, such as those we observed in confined cells (Fig. 2a,b), are also indicative of long-lived, stabilized MTs19",(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q2,"Confining A375 cells in vitro also resulted in significant upregulation of acetylated tubulin (P = 6.86 × 10−12; Fig. 2f–h). Acetylated tubulin filaments in unconfined cells were typically short and linear, whereas in confined cells, acetylated tubulin filaments were longer and more curved—again indicative of stabilization (Fig. 2f,g)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q1,"We noticed that in confined cells, the hyperacetylated tubulin network was often perinuclear (Fig. 2f,g) and hypothesized that this network may provide structural support to the nucleus","As the stiffest and largest organelle, the nucleus is vulnerable to confinement-induced stress, with confined migration often causing nuclear envelope rupture and DNA damage20,21. During migration through confined spaces, neurons assemble a perinuclear network of acetylated tubulin to protect the nucleus22,23",We confirmed the stability of the perinuclear MT network by treating confined cells with nocodazole
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q2,"Nocodazole (1 µM) induced the disassembly of almost all non-modified tubulin filaments in both unconfined and confined cells (Fig. 2i,j). Although unconfined nocodazole-treated cells exhibited minimal acetylated tubulin, many confined nocodazole-treated cells contained a perinuclear acetylated tubulin cage (Fig. 2i,j)",which induces MT disassembly through an acetylation-independent mechanism24. Acetylated MTs are resistant to nocodazole19,(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q1,(missing),(missing),"We generated a stable A375 cell line, in which the main eukaryotic tubulin acetyltransferase (ATAT1) was inactivated using CRISPR (Extended Data Fig. 3a,b)"
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q2,"found that this almost completely abolished acetylated tubulin, including the perinuclear network (Extended Data Fig. 3c–e)",(missing),This indicates that ATAT1 is the acetyltransferase that responds to mechanical stress in melanoma cells by stabilizing the tubulin cytoskeleton
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q1,To clarify the composition of the perinuclear tubulin network,"In addition to acetylation, MTs exhibit a variety of post-translational modifications (PTMs), including tyrosination, glutamylation, glycylation and methylation, which influence MT stability25",we used immunofluorescence to characterize MT PTMs in confined melanoma cells
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q2,most MTs in confined and unconfined A375 cells were highly tyrosinated (Extended Data Fig. 4a–d),Detyrosination has been linked to stabilized MTs26... probably owing to the high concentrations of tyrosine and tyrosinase in melanoma27,(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confinement remodels the cytoskeleton,Q2,"there was no specific enrichment of these PTMs in the perinuclear network, as observed for acetylated MTs. Similar results were observed for polyglutamylated MTs (Extended Data Fig. 4e,f). No polyglycylated MTs were found in either condition (Extended Data Fig. 4g,h)",(missing),"This indicates that acetylation is the primary PTM mediating the assembly and/or stability of the perinuclear tubulin network. These data indicate that confined melanoma cells assemble a stable perinuclear tubulin network to reinforce the nucleus against mechanical stress, similar to neurons."
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q1,to identify potential confinement-induced mediators of this state,(missing),We examined our zebrafish and human transcriptomic datasets
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q2,Interface cells consistently upregulated high mobility group (HMG)-family proteins (Fig. 3a),"which regulate chromatin architecture by binding and bending DNA to relieve mechanical strain28. Although HMG-enriched transcriptional programs are upregulated across many tumour types, including melanoma29, their contribution to tumour progression remains poorly understood",(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q1,We focused on HMGB2 (zebrafish hmgb2a and hmgb2b),"because it was the most upregulated HMG family member in interface cells from zebrafish (Fig. 3a,b), and because our previous study identified HMGB2 as a signalling factor enriched in interface cells6",(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q2,"HMGB2 was also highly upregulated by human interface cells (P = 3.24 × 10−37; Fig. 3c,d and Extended Data Fig. 1h)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q1,To validate our transcriptomic results indicating that HMGB2 is upregulated at the invasive front,(missing),we examined HMGB2 expression in zebrafish melanoma tissue sections
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q2,"In invading tumour cells, HMGB2 was only upregulated in elongated or misshaped tumour cells that appeared to be under mechanical pressure from adjacent tissues (Fig. 3e–g). HMGB2 concentrations were inversely correlated to nuclear circularity (R = −0.474; P = 1.19 × 10−12; Fig. 3g)",(missing),indicating that confinement induces HMGB2 upregulation
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q2,"Similarly, the in vitro confinement of A375 human melanoma cells caused nuclear HMGB2 intensity to approximately double relative to unconfined cells (P = 1.42 × 10−7; Fig. 3h,i). This increase was not solely attributable to changes in nuclear density; although Hoechst intensity also slightly increased upon confinement (probably owing to compaction of chromatin/the nucleus; P = 0.0017; Fig. 3j), normalizing HMGB2 to Hoechst concentrations still showed a significant increase (P = 3.01 × 10−6; Fig. 3k)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q2,"nuclear HMGB2–GFP concentrations increased linearly over approximately 16 h (0.269 ± 0.020-fold per hour) to a final concentration of 1.76 ± 0.072-fold relative to initial concentrations (Extended Data Fig. 5a,b)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q2,quantified no change in their expression upon confinement (Extended Data Fig. 5c–f),(missing),indicating that confinement-induced upregulation of HMGB2 is not a general property of all HMG family members
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q1,"to look for evidence of interface cells with elongated nuclei, high HMGB2 concentrations and perinuclear acetylated tubulin",(missing),We examined a human melanoma tissue microarray
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q2,"As in the zebrafish, the invasive front in human samples often contained elongated nuclei with high HMGB2 and acetylated tubulin expression, although with expected interpatient variability (Extended Data Fig. 6a–e). Of the 40 patient samples analysed, 20 (50%) contained putative interface cells (elongated nuclei, HMGB2+ and AcTub+)",(missing),"This validates our scRNA-seq analyses, indicating that interface cells are present in human samples (Fig. 1c)"
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q1,We then investigated whether the upregulation of HMGB2 and acetylated tubulin by confined cells is melanoma-specific or exhibited across other cancer types,We focused on two cancer types probably influenced by mechanical stress in vivo: pancreatic ductal adenocarcinoma and bladder cancer,(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q2,"In both, confinement induced significant upregulation of HMGB2 and acetylated tubulin (Extended Data Fig. 6f–q)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q1,To rule out a potential pro-invasive role for these transcription factors upon mechanical stress in melanoma,"Mechanical stress can be associated with nuclear translocation of transcription factors, such as YAP, as well as epithelial–mesenchymal transition inducers, including Twist, Snail and SMAD3 (ref. 30)",we quantified their expression in confined A375 cells
Mechanical confinement governs phenotypic plasticity in melanoma,Confined invasive cells upregulate HMGB2,Q2,"None of the factors examined (YAP, Twist, Snail and SMAD3) exhibited nuclear translocation upon confinement, and the nuclear expression of YAP, Twist and SMAD3 decreased (Extended Data Fig. 7)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q1,To investigate how mechanical confinement induces HMGB2 upregulation,"hypothesizing that the perinuclear acetylated tubulin network (Fig. 2f,g) may propagate confinement-induced force to the nucleus",we focused on the MT cytoskeleton
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q2,"Upon confining two different A375–HMGB2KO cell lines, we confirmed that the perinuclear acetylated tubulin network was unaffected (Extended Data Fig. 8d,e)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q1,to determine whether the acetylated tubulin network influences HMGB2 upregulation,Tubulin acetylation is mediated by the acetyltransferase ATAT1 (ref. 31) and deacetylation by HDAC6 (ref. 32),We modulated tubulin dynamics and acetylation state in confined cells
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q1,(missing),(missing),"We first treated A375 cells with the HDAC6 inhibitor tubacin33, which increased tubulin acetylation without affecting histone acetylation (Extended Data Fig. 9a–f)"
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q2,"In confined cells, tubacin treatment significantly increased both total nuclear HMGB2 accumulation (P = 1.1646 × 10−6; Extended Data Fig. 9g,h) and the rate of accumulation, which approximately doubled versus controls (0.353 ± 0.0364-fold per hour versus 0.145 ± 0.0171-fold per hour; P = 1.1589 × 10−6; Extended Data Fig. 9i)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q1,To stabilize MTs independent of acetylation,Taxol... binds β-tubulin and prevents tubulin monomer incorporation into MT filaments and thus should not influence the acetylation state of HMGB2 or other proteins34,we treated confined cells with paclitaxel (Taxol)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q2,"Taxol (100 nM) significantly increased HMGB2 accumulation in confined cells (P = 0.00230; Extended Data Fig. 9g,h), with an accumulation rate remarkably similar to tubacin-treated cells (0.338 ± 0.0425-fold per hour versus 0.353 ± 0.0364-fold per hour; P = 0.961; Extended Data Fig. 9i)",(missing),"indicate that confinement-induced HMGB2 enrichment is linked to MT stability, rather than acetylation state or other HDAC6 functions"
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q1,To confirm the role of perinuclear acetylated tubulin in mediating HMGB2 accumulation,"Nocodazole abolishes most MT networks, with the exception of stabilized acetylated tubulin filaments24",we treated A375[HMGB2–GFP] cells with nocodazole before applying confinement
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q2,"We observed near total loss of visible SiR-tubulin signal in confined nocodazole-treated cells (Extended Data Fig. 9j), whereas the perinuclear acetylated tubulin network remained intact (Fig. 2i,j) and HMGB2–GFP accumulation was unaffected (P = 0.714; Extended Data Fig. 9k,l)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q1,(missing),(missing),We quantified HMGB2 accumulation in confined A375–ATAT1KO cells lacking acetylated tubulin (Extended Data Fig. 3c–e)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q2,"Unexpectedly, HMGB2 accumulation was not impaired in ATAT1KO cells (Extended Data Fig. 3f)",(missing),suggesting that acetylated tubulin is sufficient but not necessary for the enrichment of HMGB2 in response to confinement
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q1,we investigated other factors that may cooperate with the MT cytoskeleton to promote upregulation of HMGB2 in confined cells,(missing),using TurboID35 to perform proximity labelling proteomics targeting HMGB2 interactors (Fig. 3l and Supplementary Table 4)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q2,"One highly enriched protein was nesprin 2 (gene name: SYNE2), a component of the linker of nucleoskeleton and cytoskeleton (LINC) complex that connects the cytoskeleton, nuclear lamina and chromatin36 (Fig. 3m and Supplementary Table 4)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q1,We hypothesized that nesprin 2 may be required for enrichment of HMGB2 upon confinement,(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q2,"Accordingly, confined A375 cells upregulated nesprin 2 (Extended Data Fig. 10a,b), and targeting SYNE2 with short interfering RNA (siRNA) (Extended Data Fig. 10c) abolished the confinement-mediated accumulation of HMGB2 (Fig. 3n,o) and perinuclear tubulin network (Fig. 3p,q)",(missing),This indicates that nesprin 2 and the tubulin cytoskeleton interact to upregulate HMGB2
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q2,"Lamin A/C increased by approximately 3-fold in confined cells (P = 1.28 × 10−162; Extended Data Fig. 10d,e)",The LINC complex cooperates with the nuclear lamina to tune nuclear stiffness36,suggesting that the nuclear lamina was remodelled in response to confinement
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q2,"showing increased nuclear stiffness in confined cells (Extended Data Fig. 10f,g)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 upregulation requires nesprin 2,Q2,(missing),(missing),"Together, our results demonstrate that confined melanoma cells remodel cytoskeletal and nuclear structures to reinforce the cell against mechanical force, resulting in LINC complex-mediated HMGB2 upregulation and nuclear stiffening."
Mechanical confinement governs phenotypic plasticity in melanoma,Force affects HMGB2–chromatin dynamics,Q1,(missing),(missing),We used fluorescence recovery after photobleaching (FRAP) to characterize nuclear HMGB2 dynamics upon confinement
Mechanical confinement governs phenotypic plasticity in melanoma,Force affects HMGB2–chromatin dynamics,Q2,"HMGB2–GFP was highly dynamic even in unconfined cells (Fig. 4a–d), with only approximately 25% stably bound within the nucleus (mobile fraction = 75.21 ± 0.91%)",As previously reported38,(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,Force affects HMGB2–chromatin dynamics,Q2,"In both conditions, FRAP recovery curves fitted well to a two-component exponential equation (average coefficient of determination (R2) = 0.986 ± 0.00054; Fig. 4d,e and Methods)",(missing),"indicating two pools of nuclear HMGB2: fast-diffusing (stochastic interactions with chromatin) and slower-diffusing (more specific, stable interactions)39"
Mechanical confinement governs phenotypic plasticity in melanoma,Force affects HMGB2–chromatin dynamics,Q2,"Although more than 90% of HMGB2 remained fast-diffusing in both conditions, confinement significantly increased the proportion of slower-diffusing HMGB2 (6.76 ± 0.39% versus 4.21 ± 0.39%; P = 1.134 × 10−5; Fig. 4f)",(missing),"suggesting more specific, stable HMGB2–chromatin interactions in confined cells"
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q1,we propose that this could affect chromatin accessibility,Our FRAP analysis indicates that confinement upregulates HMGB2 and stabilizes its interactions with chromatin,(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,Assay for transposase-accessible chromatin (ATAC) sequencing (ATAC-seq) of A375 cells overexpressing HMGB2 showed broadly increased chromatin accessibility (Fig. 4g),(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,"Peak-gene mapping and pathway analysis revealed that open chromatin regions were highly enriched for neuronal genes, with increased accessibility at loci linked to the neural crest and neuronal development (Fig. 4h–j and Supplementary Table 5)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,Homer de novo motif analysis identified conserved transcription factor binding motifs enriched within the promoter of open chromatin regions upon HMGB2 overexpression (HMGB2OE). The top-ranked motif was an AP-1 motif (Fig. 4k; P = 1 × 10−49),"implicated in melanoma and melanocyte plasticity40,41",(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,"Other highly ranked motifs included PRDM4 (Fig. 4k; P = 1 × 10−12), and SOX9 (Fig. 4k; P = 1 × 10−11)",which functions in neural development42... a critical regulator of the pro-invasive phenotype switch in melanoma43,(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,(missing),(missing),"These data indicate that HMGB2 upregulation increases chromatin accessibility at loci associated with plasticity and a neuronal phenotype, promoting a confinement-induced dedifferentiation program."
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q1,To clarify potential HMGB2 targets,(missing),we performed chromatin immunoprecipitation (ChIP) sequencing (ChIP–seq) targeting HMGB2 in A375 cells using a double-crosslinking approach44 (Extended Data Fig. 11a)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,we identified a final high-confidence set of 96 targets (Extended Data Fig. 11b and Supplementary Table 6),consistent with previous studies44–46,(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,"We observed HMGB2 binding at promoter regions of several AP-1 signalling genes, including FOSL1, JUNB and JUND (Extended Data Fig. 11c and Supplementary Table 6)",(missing),validating our ATAC-seq results and supporting the pro-invasive role of HMGB2
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,"Several neuronal genes were also identified as HMGB2 targets, including NOTCH2, NOTCH2NLC, TBX6, GBA1 and ZNF335 (Extended Data Fig. 11d and Supplementary Table 6), as well as pro-tumorigenic genes such as KMT2A (Extended Data Fig. 11e and Supplementary Table 6)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q1,To examine the transcriptional effects,(missing),we performed bulk RNA-seq on A375 cells stably overexpressing HMGB2 (Extended Data Fig. 11f)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,HMGB2OE cells adopted a mesenchymal-like and invasive morphology relative to empty vector controls (Extended Data Fig. 11g),(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,"The most highly upregulated gene was UNC5D, a netrin receptor promoting neuronal survival and migration47 (Extended Data Fig. 11h and Supplementary Table 7). Other upregulated neuronal genes included DCC, SH3GL2 and NPX2 (Extended Data Fig. 11h,i and Supplementary Table 7)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,"GSEA revealed an overrepresentation of neuronal genes within enriched pathways (Extended Data Fig. 11j,k and Supplementary Table 7)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,"several invasive genes were also upregulated (MAGEA1, SPP1, CTAG2 and GDF6; Extended Data Fig. 11i and Supplementary Table 7)",(missing),Supporting a pro-invasive role for HMGB2
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 targets plasticity-associated loci,Q2,(missing),(missing),These data indicate that HMGB2 alters chromatin architecture to promote an invasive neuronal state.
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 drives invasion through Notch and BRN2,Q1,We investigated whether HMGB2 drives invasion through these factors,"Phenotypic plasticity in melanoma is controlled by a regulatory axis of melanocytic transcription factors (MITF) driving proliferation versus invasive factors (BRN2, SOX9 and AP-1) that also slow proliferation","Using the SKMEL5 melanocytic cell line, we created a stable line expressing V5-tagged HMGB2 and performed ChIP–seq targeting V5 and HMGB2 (Extended Data Fig. 12a)"
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 drives invasion through Notch and BRN2,Q2,"We identified robust HMGB2 binding to the MITF promoter (Extended Data Fig. 12c). However, loss of HMGB2 did not meaningfully alter MITF expression (log2FC = 0.157; Extended Data Fig. 12e–g and Supplementary Table 9)",(missing),indicating that HMGB2 may regulate pro-invasive factors instead
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 drives invasion through Notch and BRN2,Q2,"HMGB2 robustly bound the promoter of Notch signalling genes in both A375 (Extended Data Fig. 11d and Supplementary Table 6) and SKMEL5 (Extended Data Fig. 12d and Supplementary Table 8) cells. Notch family genes were also upregulated by human interface cells (DLL1, DLL3 and DLK2; Supplementary Table 1) and confined human melanoma cells (NOTCH2NLA, DLK2 and DLL4; Supplementary Table 2).","Notch signalling promotes melanoma invasion through brain-2 (BRN2, also known as POU3F2) (ref. 48), a well-characterized pro-invasive transcription factor in melanoma49 that also functions in neuronal development50",This indicates that invasive and neuronal phenotypes in confined interface cells are induced by HMGB2-mediated upregulation of Notch/BRN2 signalling
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 drives invasion through Notch and BRN2,Q2,a BRN2/POU3F2 motif was enriched in the promoter region of HMGB2 target genes (Extended Data Fig. 12h),(missing),Supporting this model
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 mediates phenotype switching,Q2,Confined A375 cells downregulated many proliferation-related pathways (Fig. 5b),"One prediction of the melanoma phenotype switching model is the trade-off between opposing phenotypes; highly proliferative cells are less invasive, whereas highly invasive cells are less proliferative (Fig. 5a). Our data indicate that confinement-induced upregulation of HMGB2 could mediate this phenotypic plasticity.",(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 mediates phenotype switching,Q1,To visualize the influence of confinement on this trade-off,(missing),we generated an A375 cell line stably expressing the FastFUCCI cell cycle sensor54
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 mediates phenotype switching,Q2,"Upon confinement, all initially mitotic cells (mAG+ and S/G2–M phase) rapidly lost mAG fluorescence, indicating cell cycle exit (Fig. 5c,d)",(missing),(missing)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 mediates phenotype switching,Q1,To directly test the role of HMGB2 in melanoma invasion,(missing),we used in vitro invasion assays (Fig. 5e)
Mechanical confinement governs phenotypic plasticity in melanoma,HMGB2 mediates phenotype switching,Q2,"found that targeting HMGB2 with siRNA significantly impaired invasion (P = 0.0133; Fig. 5f,g), whereas overexpression of HMGB2 increased invasion (P = 0.0180; Fig. 5h,i)",(missing),(missing)
