title,subsection,type,main_content,context,outcome
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CAR and IL-15 stimulation induce CREM,Q1,We next studied the kinetics of CREM induction after IL-15 stimulation and its relationship with Ki67.,(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CAR and IL-15 stimulation induce CREM,Q2,"Although Ki67 increased at 48 h, CREM expression rose earlier and increased by 24 h (Extended Data Fig. 2i,j). CREM mRNA was upregulated as early as 6 h, peaked at 24–48 h and returned to baseline by 96 h (Extended Data Fig. 2k).",(missing),This finding indicated the occurrence of transient IL-15-induced expression.
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CAR and IL-15 stimulation induce CREM,Q2,"However, in our CAR–IL-15 system, in which IL-15 is constitutively secreted, CREM remained consistently high after transduction and after expansion with feeder cells and IL-2 treatment",(missing),which indicated that it was stably expressed (Extended Data Fig. 2l)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CAR and IL-15 stimulation induce CREM,Q1,(missing),(missing),We quantified CREM-specific and ICER-specific transcripts in CAR-NK cells and after IL-15 stimulation (Methods).
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CAR and IL-15 stimulation induce CREM,Q2,"At baseline, NK cells expressed higher levels of CREM-specific transcripts than ICER-specific transcripts (Extended Data Fig. 3b). Compared with NT NK cells, CAR70–IL-15 NK cells showed upregulation of CREM-specific transcripts and, to a lesser extent, ICER-specific exon 2 transcripts (Extended Data Fig. 3b). Similarly, IL-15 induced CREM-specific transcripts in a dose-dependent manner (Extended Data Fig. 3c). Using an antibody that recognizes all CREM gene products24,25, we confirmed expression of both CREM and ICER isoforms in NK cells, with CAR–IL-15 NK cells showing increased expression of multiple CREM isoforms above 20 kDa, including CREMα, CREMβ, CREMγ and CREMτ isoforms (Extended Data Fig. 3d,e).",(missing),"Collectively, these findings indicate that both CAR ITAM signalling and IL-15 are potent inducers of CREM in NK cells, thereby highlighting their complex interplay in regulating NK cell activity."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,Cytokines and receptor signalling induce CREM,Q1,We examined the effects of various cytokines on CREM expression.,(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,Cytokines and receptor signalling induce CREM,Q2,"IL-2, IL-12, IL-18 and IL-15 induced a dose-dependent increase in CREM, with IL-15 producing the strongest response. IL-10 and IL-21 had minimal effects on CREM levels (Extended Data Fig. 4a).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,Cytokines and receptor signalling induce CREM,Q1,To assess the role of ITAM signalling through endogenous NK cell receptors,(missing),"we stimulated NK cells with anti-CD16, anti-NKp30 and anti-NKp46 antibodies (Extended Data Fig. 4b)"
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,Cytokines and receptor signalling induce CREM,Q2,which similarly upregulated CREM expression (Extended Data Fig. 4c),(missing),These results suggest that CREM upregulation is a general feature of NK cell activation that is driven by both cytokine and ITAM-based signalling and with stimulus-specific differences in strengths and kinetics.
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is upregulated in tumour-infiltrating NK cells,Q1,We next explored CREM expression in the context of NK cell exhaustion in the tumour microenvironment.,(missing),Analyses of scRNA-seq datasets from the TISCH2 database
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is upregulated in tumour-infiltrating NK cells,Q2,"revealed broad CREM expression in tumour-infiltrating immune cells, especially NK cells, T cells and monocytes and macrophages, but minimal expression in malignant or stromal cells. Tumour-infiltrating NK (TI-NK) cells showed higher CREM expression than NK cells in peripheral blood mononuclear cells (PBMCs), especially those from bladder cancer, cholangiocarcinoma and lung cancer (Extended Data Fig. 5a). This pattern held across multiple cancer types in the TI-NK cell atlas, in which CREM was consistently increased in TI-NK cells compared with PBMC NK cells26 (Extended Data Fig. 5b).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is upregulated in tumour-infiltrating NK cells,Q1,To further validate these findings,(missing),"we analysed TI-NK cells from nine patients with pancreatic cancer treated at the MD Anderson Cancer Center, including five primary tumours and four metastatic lesions27"
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is upregulated in tumour-infiltrating NK cells,Q2,"CREM expression was highest in metastatic TI-NK cells compared with PBMCs or primary tumours (Extended Data Fig. 5c), and ranked among the top 50 differentially active regulons in the transcriptome of metastatic TI-NK cells (Extended Data Fig. 5d,e).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is upregulated in tumour-infiltrating NK cells,Q2,"Analyses of data from The Cancer Genome Atlas (TCGA) showed that high CREM expression generally correlated with poor survival in several cancers, including low-grade glioma, lung adenocarcinoma, stomach adenocarcinoma and breast invasive carcinoma (Extended Data Fig. 5f).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is upregulated in tumour-infiltrating NK cells,Q2,"Finally, CREM was enriched in mature NK1 clusters from an atlas of NK cell heterogeneity28 (Extended Data Fig. 5g).",(missing),"Collectively, our findings indicate that CREM is prominently expressed in TI-NK cells across various cancers and that, in a healthy context, its expression is associated with a more mature NK cell phenotype."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM shapes the NK cell phenotype,Q1,to determine the phenotype of CREM-expressing NK cells,(missing),we performed mass cytometry
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM shapes the NK cell phenotype,Q2,"CAR70–IL-15 NK cells consistently expressed the highest levels of CREM, followed by CAR70 and IL-15 NK cells (Extended Data Fig. 6a–c). Six distinct clusters emerged (clusters 1–6), with clusters 1 (highest CREM expression), 2 and 4 predominantly found in CAR70–IL-15, CAR70 and IL-15 NK cells, respectively (Fig. 1j,k and Extended Data Fig. 6d–g).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM shapes the NK cell phenotype,Q2,"Cluster 1 was characterized by higher levels of activation markers (NKG2D, CD25, CD2, GZMB and perforin) and inhibitory markers (NKG2A, LAG3, TIGIT and TIM3; Fig. 1l). Similar but more moderate patterns were observed in cluster 2 (most abundant in CAR70 NK cells) and cluster 4 (most abundant in IL-15 NK cells). By contrast, cluster 5 (most abundant in NT cells) had a signature of suppression of both activation and inhibitory markers (Fig. 1l and Extended Data Fig. 6h). CREM was associated with higher expression of both activation and inhibitory markers across all conditions (Extended Data Fig. 6i)",(missing),"a result that supports the link between CREM induction and a phenotype of activation-induced exhaustion. Collectively, our data support the notion that CREM is preferentially induced by strong NK cell activation, such as through CAR signalling and IL-15 stimulation, and its expression is associated with a complex immunophenotype characterized by both activation and exhaustion."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q1,to determine whether the canonical PKA–CREB axis is involved in CREM induction after NK cell activation,"CREM is regulated through the cAMP signalling pathway29, in which increases in intracellular cAMP levels activate protein kinase A (PKA), which in turn phosphorylates transcription factors such as CREB and CREM. These factors then bind cAMP-response elements to regulate the transcription of target genes30.",we measured phosphorylated CREB (pCREB) levels in NK cells after CAR or IL-15 stimulation
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q2,"CAR stimulation resulted in marked CREB phosphorylation in CAR70 NK cells but not in NT or CAR-NK cells with mutated or absent CD3ζ signalling (CAR70.3ζ.Y6F and CD27(ECD), respectively; Fig. 2a,b).",These data paralleled previous observations of CREB phosphorylation by PKA downstream of T cell receptor (TCR) signalling31.,(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q2,"Pretreatment of NK cells with H89, a PKA inhibitor, strongly inhibited CAR-induced CREB phosphorylation and CREM induction after CAR ligation (Fig. 2b–d).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q1,(missing),"Given the established function of calcium as an activator of PKA32,33 and its pivotal role in the immune cell activation cascade34",we also chelated calcium with EGTA
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q2,"Treatment with EGTA led to a consistent suppression of CAR-induced CREB phosphorylation and CREM induction (Fig. 2b–d). Similarly, we observed activation of this pathway in NK cells stimulated through ITAM-associated CD3ζ downstream of CD16, NKp30 and NKp46, which was effectively inhibited by PKA or calcium blockade (Extended Data Fig. 7a,b).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q2,"Moreover, IL-15 resulted in a dose-dependent increase in PKA activity (Extended Data Fig. 7c) and pCREB levels in NK cells (Fig. 2e–i), whereas CREB phosphorylation and the subsequent increase in CREM expression were effectively blocked by H89 (Fig. 2j and Extended Data Fig. 7d,e) and EGTA (Extended Data Fig. 7f,g).",(missing),"Together, these data provide support for a pivotal role of the PKA–CREB axis in CREM upregulation in response to CD3ζ or IL-15 stimulation."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q2,"Chromatin immunoprecipitation and quantitative PCR (ChIP–qPCR) assays confirmed strong enrichment of CREB on the CREM promoter (promoter 1; Extended Data Fig. 3a) in CAR70–IL-15 NK cells (Fig. 2k). Similarly, treatment of NK cells with increasing doses of IL-15 led to a dose-dependent increase in binding of pCREB to the CREM promoter (Fig. 2l).",The parallel patterns of CREB phosphorylation and CREM induction after CAR ligation or IL-15 stimulation suggested that CREM might be a direct target of CREB.,"These patterns of CREB and pCREB enrichment correlated with CREM transcription levels in these cells under the same conditions (Fig. 1h and Extended Data Fig. 6a), which strongly indicated that CREM is directly regulated by CREB."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q2,"IL-15 induced a dose-dependent increase in pSTAT3 and pSTAT5 in NT NK cells as assessed by western blot analysis, with pSTAT5 showing greater sensitivity (Extended Data Fig. 7h,i). By contrast, CAR activation alone did not induce pSTAT3 or pSTAT5. At baseline, only CAR70–IL-15 NK cells showed pSTAT3 and pSTAT5 bands, which was probably driven by autocrine IL-15 signalling (Extended Data Fig. 7j,k).","IL-15 activates NK cells through the JAK–STAT pathway, specifically STAT3 and STAT5.",(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q1,To determine the role of STAT3 and STAT5 in IL-15-mediated CREM induction,(missing),"we assessed CREM expression after IL-15 stimulation in wild-type (WT), STAT3 knockout (KO; Extended Data Fig. 7l), STAT5A and STAT5B (STAT5A/B) KO (Extended Data Fig. 7m) and CREM KO NK cells."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q2,CREM levels were partially reduced in both STAT3 KO and STAT5A/B KO NK cells (Extended Data Fig. 7n),(missing),which indicated that both these factors are involved in CREM induction
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q2,"ChIP analysis did not reveal significant pSTAT3 binding at the CREM promoter (promoter 1; Extended Data Fig. 3a), whereas STAT5B binding was significantly enriched after IL-15 treatment (Extended Data Fig. 7o,p).",(missing),"Our findings indicate that both STAT3 and STAT5 regulate CREM expression, either indirectly (STAT3) or directly through promoter binding (STAT5)."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM is induced through the PKA–CREB axis,Q2,"Notably, CREM induction also occurred independently of STAT signalling, specifically after CAR stimulation in the absence of pSTAT3 and pSTAT5, and instead depended on the PKA–pCREB axis (Fig. 2b–d and Extended Data Fig. 7j,k).",(missing),These findings collectively highlight a dual mechanism of CREM regulation in CAR-NK cells through the PKA–CREB signalling axis and through STAT3–STAT5 downstream of IL-15.
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO enhances CAR-NK cell potency,Q1,To determine whether CREM functions as a negative regulator in CAR-NK cells,(missing),we used CRISPR–Cas9 to KO CREM (an exon shared by most of the non-ICER isoforms) in two CAR-NK cell models
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO enhances CAR-NK cell potency,Q2,"CREM KO significantly enhanced the cytotoxicity of CAR–IL-15 NK cells in long-term two-dimensional and three-dimensional tumour spheroid cultures and in tumour rechallenge assays, particularly at low effector-to-target ratios (Fig. 3a–d, Extended Data Fig. 8a–d and Supplementary Videos 1–4). Furthermore, CREM KO enhanced the cytotoxicity of IL-15, CAR70 and CAR70–IL-15 NK cells in tumour rechallenge assays (Fig. 3e and Extended Data Fig. 8e) and their ability to produce cytokines (Fig. 3f), with no effect on NT NK cells.",(missing),"Together, these data suggest that NK cell activation through CAR and/or IL-15 stimulation drives CREM expression to act as an intracellular checkpoint."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO enhances CAR-NK cell potency,Q1,To further elucidate the contributions of CAR signalling and IL-15 on CREM induction,(missing),"we tested the activity of NK cells expressing different constructs, including IL-15, CAR70 and CAR70–IL-15, as well as those with impaired (CAR70.3ζ.Y6F) or absent (CD27(ECD)) CD3ζ endodomain signalling, on UMRC3 spheroids."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO enhances CAR-NK cell potency,Q2,"CREM KO enhanced CAR-NK cell cytotoxicity in conditions in which CAR activation or IL-15 signalling was present, with the greatest effect observed when both pathways were active (CAR70–IL-15; Fig. 3g,h).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO enhances CAR-NK cell potency,Q2,"We tested CAR-NK cell cytotoxicity against CD70 KO UMRC3 cells (Extended Data Fig. 8f). CREM KO enhanced the effector function of IL-15-secreting NK cells, regardless of tumour expression of the cognate antigen, but had no effect on CAR70 NK cells without IL-15 (Extended Data Fig. 8g).",(missing),This result suggests that CREM acts as an inhibitory checkpoint downstream of IL-15 stimulation or CAR signalling after antigen engagement.
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO enhances CAR-NK cell potency,Q2,"CREM KO did not have a significant effect on the function of NT NK cells; however, after exposure to increasing concentrations of exogenous IL-15, CREM KO led to enhanced cytotoxicity against tumour targets (Extended Data Fig. 8h).",(missing),"Together, these data point to an important role for CREM as a potent intracellular immune checkpoint that restrains NK cell antitumour activity in response to either CAR or IL-15 stimulation."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO improves CAR-NK cell in vivo activity,Q1,We evaluated the impact of CREM KO on CAR-NK cell function in vivo,(missing),using three different NOD/SCID IL-2Rγnull (NSG) mouse models of haematological and solid tumours
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO improves CAR-NK cell in vivo activity,Q1,To model NK cell exhaustion,(missing),"we used a mouse model of aggressive CD70+ Raji Burkitt lymphoma and treated these mice with long-term cultured (23-day-old) NT, CREM WT or KO CAR70–IL-15 NK cells at a subtherapeutic dose (Fig. 4a)"
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO improves CAR-NK cell in vivo activity,Q2,"Treatment with CREM KO CAR70–IL-15 NK cells led to significantly enhanced tumour control compared with CREM WT CAR70–IL-15 NK cells, NT NK cells or untreated controls (Fig. 4b,c), and resulted in improved survival (Fig. 4d). Moreover, CREM KO led to increased proliferation of CAR70–IL-15 NK cells in peripheral blood (Fig. 4e) and greater infiltration into the lungs, liver, bone marrow and spleen (Fig. 4f). Notably, the administration of CREM KO CAR70–IL-15 NK cells did not cause toxicity, as evidenced by stable body weights in treated mice (Extended Data Fig. 9a).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO improves CAR-NK cell in vivo activity,Q2,"By day 10 after infusion, CREM WT CAR70–IL-15 NK cells acquired a dysfunctional phenotype, with reduced cytotoxicity against targets in Raji and K562 cells compared with the original infusion product (Extended Data Fig. 9b–e). By contrast, CREM KO CAR70–IL-15 NK cells maintained their cytotoxic function at this early time point (Extended Data Fig. 9b–e). However, by day 20, CREM KO CAR70–IL-15 NK cells also showed signs of dysfunction (Extended Data Fig. 9b–e).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO improves CAR-NK cell in vivo activity,Q2,"Serum analyses for human cytokines revealed increased levels of TNF, IFNγ, granzyme family members, perforin and other effector molecules in mice treated with CREM KO CAR70–IL-15 NK cells, particularly at later time points",(missing),which indicated different dynamics of cytotoxicity and cytokine production (Extended Data Fig. 9f)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO improves CAR-NK cell in vivo activity,Q2,"Mice treated with CREM KO CAR70–IL-15 NK cells showed significantly lower tumour burden than all control groups (Fig. 4h and Extended Data Fig. 9g). CREM KO also led to increased proliferation of CAR-NK cells in peripheral blood and greater infiltration into the lungs and liver (Fig. 4i–l), accompanied by elevated GZMB expression",(missing),"a result consistent with an activated NK cell phenotype (Fig. 4k,l)"
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO improves CAR-NK cell in vivo activity,Q2,"In an independent experiment using the same model, CREM KO CAR70–IL-15 NK cells led to increased survival of mice compared with controls (Fig. 4m). Notably, treatment with CREM KO cells was well tolerated, with no weight loss observed (Extended Data Fig. 9h), and again led to increased CAR-NK cell proliferation in peripheral blood (Extended Data Fig. 9i).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO improves CAR-NK cell in vivo activity,Q2,These results were further validated in an orthotopic TROP2+ PATC148 mouse model of pancreatic cancer (Extended Data Fig. 9j). Intraperitoneal injection of CREM KO CAR.TROP2–IL-15 NK cells led to improved tumour control (Extended Data Fig. 9k) and in vivo systemic persistence (Extended Data Fig. 9l).,(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO improves CAR-NK cell in vivo activity,Q1,We further investigated the safety of CREM KO CAR-NK cells using our BCX.010 mouse model.,Targeting inhibitory checkpoints in NK cell activation raises the possibility of unwanted toxicity.,"mice with BCX.010 tumours were treated intravenously with either CREM WT or KO CAR70–IL-15 NK cells. As a control, we infused CREM KO CAR70–IL-15 NK cells into mice without tumours."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM KO improves CAR-NK cell in vivo activity,Q2,"histological analyses of major organs (liver, lungs and kidneys) did not show notable abnormalities attributable to NK cell therapy in mice treated with either CREM WT or KO CAR70–IL-15 NK cells (Extended Data Fig. 10a). In a separate cohort, blood collected from mice with BCX.010 tumours 30 days after infusion of NK cells did not show significant differences in haematological parameters or serum chemistry between mice treated with CREM WT or KO CAR70–IL-15 NK cells (Extended Data Fig. 10b–d).",(missing),"In summary, our findings support the therapeutic potential of CREM KO to enhance the efficacy of CAR-NK cells in vivo while maintaining a favourable safety profile, thereby highlighting the translational relevance of this approach."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q1,To understand how CREM modulates CAR-NK cell function,(missing),we performed ChIP–seq using an antibody that recognizes all CREM isoforms to identify genome-wide CREM-binding sites in NK cells
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q2,"CREM binding was detected across numerous genomic sites, and antibody specificity was confirmed by the enrichment of CREM motifs under ChIP–seq peaks (Fig. 5a). CREM occupancy was higher in IL-15, CAR70–IL-15 and CAR70 NK cells than in NT NK cells (Fig. 5b and Extended Data Fig. 11a), a pattern that was also observed for core CREM-binding target genes (Fig. 5c).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q2,"CREM-bound genes included those relevant to NK cell activity (chemokines and cytokines), cytotoxicity molecules (IFNG, LAMP1 and GZMB), calcium signalling (CAMK1D, CAMK2D and CAMLG) and genes with regulatory function (FOS, FOSB, NFKB2, NFKBIA, STAT3 and EGR1). Hallmark pathway enrichment analysis of CREM target genes identified the MYC targets V1 as the top pathway enriched among all conditions (Fig. 5d and Extended Data Fig. 11b). Other pathways, such as TNF signalling through NF-κB, MTORC1 signalling and G2M checkpoint pathways, were also enriched among the targets in CAR70–IL-15 NK cells (Fig. 5d).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q1,(missing),Given the dual function of CREM as both a transcriptional repressor and activator with tissue-specific and cell-specific expression35,we performed integrative analysis of our ChIP–seq and RNA-seq data from CREM WT and KO CAR70–IL-15 NK cells
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q2,CREM KO led to both the upregulation and downregulation of direct CREM target genes (Extended Data Fig. 11c),(missing),a result that underscores its context-specific regulatory functions
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q2,"consistently downregulated target genes in CREM KO CAR70–IL-15 NK cells included those related to exhaustion and stress responses, including BTG1 (ref. 36), DUSP2 (ref. 37), SMAD3, NFKB2 (ref. 3) and RGS1 (ref. 8). Conversely, CREM KO upregulated genes involved in NK cell cytotoxicity such as GZMB and IFNG, and transcription factors implicated in T cell and NK cell development (KLF7 and RUNX2)38,39.",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q2,"Gene set enrichment analysis (GSEA) of direct CREM targets revealed that CREM KO upregulated pathways crucial for NK cell effector function and metabolism, including MYC and E2F targets, MTORC1 signalling and oxidative phosphorylation. In parallel, it downregulated immunosuppressive pathways such as hypoxia and TGFβ signalling (Fig. 5e and Extended Data Fig. 11e,f).",(missing),"Together, these data suggest that CREM contributes to NK cell dysfunction by directly binding and upregulating exhaustion and stress-related genes while suppressing pathways essential for NK cell function and proliferation."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q1,To assess the overall impact of CREM on the epigenome,(missing),we analysed differences in chromatin accessibility between CREM WT and CREM KO CAR70–IL-15 NK cells cultured alone or with UMRC3 cells using assay for transposase-accessible chromatin with sequencing (ATAC–seq)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q2,"Overall, CREM WT CAR70–IL-15 NK cells displayed reduced chromatin accessibility when cultured together with tumour cells, whereas CREM KO CAR70–IL-15 NK cells maintained a more open chromatin landscape under the same conditions (Fig. 5f). Notably, CREM KO CAR70–IL-15 NK cells cultured together with tumour cells retained accessibility in most cellular metabolic and effector pathways, including MTORC1, PI3K–AKT–MTOR signalling and the mitotic spindle (Extended Data Fig. 11g).",(missing),(missing)
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q2,"Compared with CREM WT, CREM KO CAR70–IL-15 NK cells showed enrichment of chromatin accessibility at loci associated with activation of E2F targets, oxidative phosphorylation, MYC targets, G2M targets, MTORC1 signalling and the mitotic spindle",(missing),"a result consistent with an effector, activated and proliferating NK cell phenotype (Extended Data Fig. 11h)."
CREM is a regulatory checkpoint of CAR and IL-15 signalling in NK cells,CREM alters the CAR-NK cell genetic landscape,Q2,"Indeed, genes associated with effector function (for example, GZMA and PRF1) and transcription factors essential for NK cell maturation and function (for example, EOMES and TBX21) showed increased accessibility in CREM KO CAR70–IL-15 NK cells (Fig. 5g and Extended Data Fig. 11i).",(missing),(missing)
